Mæg	mag
Hwæt	None
ða	þe|þa|ða|se
Eugenia	eugenia
hym	he
eallum	eall|eal
gebysnode	gebysnian
mid	mid
goddre	god
gedrohtnunge	gedrohtnung
to	toh|to
Godes	godes|god
þeowdome	þeowdom
and	and
mid	mid
carfulnysse	carfulnys
þonne	þonne|se
hyred	hyred|hyran|gehyran
gewissode	gewissian
Hyre	heo
geuðe	None
þa	þu|þa|se
se	se
ælmihtiga	ælmihtig|eallmihtig
wealdend	wealdend
þæt	þæt|se
heo	heo
untrume	untrum
menn	mann
mihte	miht|meaht|magan
gehælan	gehælan
swa	swa
hwylcne	hwilc
swa	swa
heo	heo
geneosode	geneosian
licgende	licgan
on	on|an
sare	sar
Heo	heo
aflygde	afleon
eac	eacan|eac
swylce	swilce
þa	þu|þa|se
fulan	ful
deofla	deofol
fram	fram
ofsættum	ofsettan
mannum	mann
þurh	þurh
soðne	soð
geleafan	geleafa
Þa	þa|se
wæs	wesan|seon|beon
sum	sum|su
wif	wif
wælig	welig
on	on|an
æhtum	æht
Melantia	melantia
gecyged	gecigan
swiðe	swiðe|swiðan
þearle	þearle
gedreht	gedreccan|dreссan
mid	mid
langsumum	langsumum|langsum
feofore	fefer
and	and
com	cuman
to	toh|to
ðære	se
femnan	fæmne
Eugenia	eugenia
þa	þu|þa|se
hi	hi|heo
gesmyrode	gesmyrian
mid	mid
gehalgodum	gehalgian
ele	elh|ele
and	and
eac	eacan|eac
gemearcode	gemearcod|gemearcian
mid	mid
rodetacne	rodetacen
And	and
heo	heo
þæt	þæt|se
reðe	reðe
attor	ator
eall	eall|eal
ut	ut
aspaw	aspiwan
þe	þu|þe|se
hyre	hyrian|hyre|hyran|hyr|hire|heo
dærede	None
and	and
wearþ	weorþan
gehæled	hælan|gehælan
þurh	þurh
þæt	þæt|se
halige	halig
mæden	mæden|mecgan
Þa	þa|se
bead	beodan
seo	seon|seo|se
wydewe	widuwe
þam	þæm|þam|se
mædene	mæden
sceattas	sceatt
for	for|faran
hyre	hyrian|hyre|hyran|hyr|hire|heo
hæle	hæle|hælan|helan
ac	acan|ac
heo	heo
hi	hi|heo
forsoc	forsacan
and	and
tihte	tyhtan
ða	þe|þa|ða|se
oþre	oþer|oðer
þæt	þæt|se
heo	heo
hi	hi|heo
dælde	dælan
þearfum	þearfa
and	and
wædlum	wædla
for	for|faran
ðam	ðam|se
gewissan	gewiss|gewis
eadleane	edlean
Ða	þa|se
gewænde	None
seo	seon|seo|se
wydewe	widuwe
ham	ham
to	toh|to
hyre	hyrian|hyre|hyran|hyr|hire|heo
agenum	agen
and	and
com	cuman
siððan	siððan
gelome	gelome|gelom
mid	mid
leasum	leas
mode	mod
to	toh|to
þam	þæm|þam|se
wlytegan	wlitig
mædene	mæden
wende	wendan|wenan
þæt	þæt|se
heo	heo
cniht	cniht
wære	wære|wær|wesan|seon|beon
and	and
mænigfealde	manigfeald
sceattas	sceatt
hyre	hyrian|hyre|hyran|hyr|hire|heo
unmæðlice	unmæþlice
bead	beodan
Ac	ac
þa	þu|þa|se
þa	þu|þa|se
heo	heo
geseah	geseon
þæt	þæt|se
seo	seon|seo|se
soðfæste	soþfæst
fæmne	fæmne
hyre	hyrian|hyre|hyran|hyr|hire|heo
laca	lacu|lac
ne	nesan|neh|ne
rohte	reссan|reccan|recan
ne	nesan|neh|ne
hyre	hyrian|hyre|hyran|hyr|hire|heo
rununga	runung
þa	þu|þa|se
wearð	None
heo	heo
mid	mid
yfele	yfele|yfel
eall	eall|eal
afylled	afyllan
and	and
gebræd	gebredan
hi	hi|heo
seoce	seoc
mid	mid
bysmorfullum	bysmorfull
geþance	geþanc
Heo	heo
bæd	bædan|biddan
þa	þu|þa|se
Eugenian	eugenia
þæt	þæt|se
heo	heo
hi	hi|heo
geneosode	geneosian
and	and
ongan	onginnan
hyre	hyrian|hyre|hyran|hyr|hire|heo
sæcgan	None
hyre	hyrian|hyre|hyran|hyr|hire|heo
sweartan	sweart
geþohtas	geþoht
Cwæð	None
þæt	þæt|se
heo	heo
wære	wære|wær|wesan|seon|beon
wydewe	widuwe
on	on|an
þam	þæm|þam|se
geare	geare|gear
and	and
hyre	hyrian|hyre|hyran|hyr|hire|heo
wer	wer
læfde	læfan
unlytle	unlytel
æhta	æht
on	on|an
lande	land|finna
and	and
on	on|an
feo	feoh
and	and
on	on|an
forewyrcendum	forewyrcend
And	and
unc	wit
n	næs|ne
æs	æs
gemæne	gemæne
man	munan|mann|man
on	on|an
ðysum	þes
lyfe	None
Nu	nu
is	wesan|seon|is
min	min|ic
mod	mod
awend	awendan
mycclum	micel
to	toh|to
ðe	þu|þe|ðe
þæt	þæt|se
þu	þu
hlaford	hlaford
beo	beon|beo
þæra	se
æhta	æht
and	and
min	min|ic
Ic	ic
wene	wennan|wenan|wen
þæt	þæt|se
hit	hit
ne	nesan|neh|ne
sy	su
unrihtwisnysse	unrihtwisness
ætforan	ætforan
Gode	god
þeah	þiсgan|þicgan|þeon|þeah
ðe	þu|þe|ðe
þu	þu
wifes	wif
bruce	brucan
and	and
blysse	blis
on	on|an
life	lif
Ða	þa|se
andwyrde	andwyrde|andwyrdan|andwerdan
Eugenia	eugenia
þyssere	þes
olecunge	oleccung
and	and
cwæð	cweðan
to	toh|to
þam	þæm|þam|se
wife	wif
mid	mid
þisum	þes
ingehyde	None
þæt	þæt|se
ða	þe|þa|ða|se
gewylnunga	gewilnung
þissere	þes
andweardan	andweard
worulde	weorold
synt	None
swiðe	swiðe|swiðan
swicole	swicol
þeah	þiсgan|þicgan|þeon|þeah
þe	þu|þe|se
hi	hi|heo
geswæse	geswæs
beon	beon|beo|bannan
And	and
þæs	se
lichoman	None
lustas	lust
gelome	gelome|gelom
bepæceð	bepæcan
and	and
to	toh|to
sarnissum	sarness
gelædað	gelædan
þa	þu|þa|se
þe	þu|þe|se
hi	hi|heo
swiðost	swiðe
lufiað	None
Æfter	æfter
þissere	þes
tihtinge	tyhting
and	and
on	on|an
oðrum	oðer
larum	lar
beclypte	beclyppan|beclypian
seo	seon|seo|se
myltestre	miltestre
þæt	þæt|se
clæne	clæne
mæden	mæden|mecgan
and	and
wolde	willan
hi	hi|heo
gebygan	gebygan
to	toh|to
bismorlicum	bismerlic
hæmede	hæmed|hæman
Hwæt	None
ða	þe|þa|ða|se
Eugenia	eugenia
hi	hi|heo
gebletsode	gebledsian
and	and
cwæð	cweðan
to	toh|to
ðære	se
sceande	sceand
þæt	þæt|se
heo	heo
soðlice	soþlice|soðlice
wære	wære|wær|wesan|seon|beon
galnysse	galnes
ontendnyss	ontendness
and	and
gramena	grama|gram
mæge	mæge|mæg|magan
þeostra	þeostru|þeostrian
gefæra	gefara
and	and
mid	mid
sweartnysse	None
afylled	afyllan
deaðes	None
dohtor	dohtor
and	and
deofles	deofol
fætels	fætels
Habban	None
þine	þin
æhta	æht
þine	þin
gelican	gelica
We	we
habbað	None
ealle	ealle|eall|eal
ðing	None
mid	mid
þam	þæm|þam|se
ælmihtigan	ælmihtig|eallmihtig
Drihtne	dryhten
Ða	þa|se
wearð	None
Melantia	melantia
micclum	micel
ofsceamod	ofsceamian
wende	wendan|wenan
þæt	þæt|se
heo	heo
wolde	willan
hyre	hyrian|hyre|hyran|hyr|hire|heo
word	word
ameldian	ameldian
buton	butan
heo	heo
sylf	self
on	on|an
ær	ær
hit	hit
openlice	openlice
cydde	cyþan
Færde	None
þa	þu|þa|se
ardlice	arodlice
to	toh|to
Alexandrian	alexandria
byrig	burh|burg
to	toh|to
þam	þæm|þam|se
heahgeræfan	heahgerefa
þe	þu|þe|se
wæs	wesan|seon|beon
gehaten	hatan|gehatan
Philippus	philippus
Eugenian	eugenia
fæder	fæder
þeah	þiсgan|þicgan|þeon|þeah
seo	seon|seo|se
fule	ful|feolan
þæt	þæt|se
n	næs|ne
yste	ystan|yst
and	and
begann	beginnan
hi	hi|heo
to	toh|to
wrægenne	wregan
and	and
wolde	willan
forsæcgan	forsecgan
Cwæð	None
þæt	þæt|se
heo	heo
eode	gan|eadan
to	toh|to
hyre	hyrian|hyre|hyran|hyr|hire|heo
licgendre	None
on	on|an
læces	læce
hiwe	hiw
and	and
hi	hi|heo
wolde	willan
forlycgan	forlicgan
gif	gif
heo	heo
þæt	þæt|se
bysmor	bismer
forberan	forberan
wolde	willan
Ac	ac
ic	ic
hrymde	hryman
sona	sona
mid	mid
sarlicre	sarlic
stæmne	stefn
oþ	oþ
þæt	þæt|se
an	on|an
minra	min
wimmanna	None
me	me|ic
wið	wiþ|wið
hine	he
ahredde	ahreddan
Ða	þa|se
gelyfde	gelyfan|gelifan
Philippus	philippus
þære	þære|se
facenfyllan	facenful
segene	segen
and	and
swiðe	swiðe|swiðan
gehatheort	gehathirtan
het	hettan|het|hedan|hatan
hi	hi|heo
gefæccan	gefeccan
and	and
eac	eacan|eac
ða	þe|þa|ða|se
gebroðra	gebroðor
ealle	ealle|eall|eal
gebundene	gebindan
and	and
heold	healdan
hi	hi|heo
on	on|an
bendum	bend
and	and
on	on|an
blindum	blind
